Trans Date,Remarks,Debit,Credit,Balance
18-Mar-2019,VERIZON WIRELESS,190.26,,56787.77
19-Mar-2019,CHIPOTLE ONLINE,15.77,,56772.00
21-Mar-2019,CHEVRON,40.99,,56731.01
21-Mar-2019,UBER TRIP,34.08,,56696.93
22-Mar-2019,ELECTRIC COMPANY,72.16,,56624.77
23-Mar-2019,GAS UTILITY,88.52,,56536.25
23-Mar-2019,MCDONALD'S,78.92,,56457.33
23-Mar-2019,BEST BUY,128.27,,56329.06
23-Mar-2019,NETFLIX.COM,43.92,,56285.14
26-Mar-2019,ALDI 729,149.08,,56136.06
26-Mar-2019,LOCAL BISTRO,57.72,,56078.34
28-Mar-2019,MCDONALD'S,34.66,,56043.68
30-Mar-2019,COSTCO WHSE,24.05,,56019.63
30-Mar-2019,TRADER JOE'S,39.75,,55979.88
30-Mar-2019,KROGER #1190,113.16,,55866.72
30-Mar-2019,DOORDASH*RESTAURANT,9.65,,55857.07
30-Mar-2019,CITY MEDICAL CLINIC,104.86,,55752.21
1-Apr-2019,ACH CREDIT EMPLOYER PAYROLL,,5972.32,61724.53
1-Apr-2019,CHEVRON,54.14,,61670.39
2-Apr-2019,TARGET.COM,245.40,,61424.99
3-Apr-2019,BILL PAY RENT LANDLORD,1471.91,,59953.08
4-Apr-2019,WALMART SUPERCENTER,141.27,,59811.81
4-Apr-2019,SHELL OIL,11.31,,59800.50
5-Apr-2019,COMCAST CABLE,125.44,,59675.06
6-Apr-2019,UBER TRIP,54.45,,59620.61
8-Apr-2019,MCDONALD'S,10.57,,59610.04
8-Apr-2019,TICKETMASTER,37.60,,59572.44
10-Apr-2019,UBER TRIP,48.30,,59524.14
11-Apr-2019,VERIZON WIRELESS,137.69,,59386.45
11-Apr-2019,METRO TRANSIT,60.71,,59325.74
11-Apr-2019,APPLE.COM/BILL,130.74,,59195.00
12-Apr-2019,IRS USATAXPYMT,231.77,,58963.23
13-Apr-2019,WHOLE FOODS #4821,136.74,,58826.49
13-Apr-2019,WALGREENS,39.38,,58787.11
14-Apr-2019,TRADER JOE'S,39.52,,58747.59
14-Apr-2019,MCDONALD'S,22.55,,58725.04
15-Apr-2019,FRESH MARKET,53.37,,58671.67
17-Apr-2019,SUSHI HOUSE,79.67,,58592.00
17-Apr-2019,NIKE STORE,36.62,,58555.38
19-Apr-2019,CITY WATER BILL,62.33,,58493.05
19-Apr-2019,LOCAL BISTRO,22.40,,58470.65
19-Apr-2019,STARBUCKS STORE,20.06,,58450.59
21-Apr-2019,EZ PASS TOLL,30.80,,58419.79
21-Apr-2019,SHELL OIL,14.27,,58405.52
22-Apr-2019,CITY MEDICAL CLINIC,132.02,,58273.50
23-Apr-2019,KROGER #1190,107.99,,58165.51
23-Apr-2019,EZ PASS TOLL,27.25,,58138.26
23-Apr-2019,CHEVRON,16.40,,58121.86
23-Apr-2019,STEAM GAMES,43.07,,58078.79
24-Apr-2019,FRESH MARKET,143.70,,57935.09
25-Apr-2019,PAYPAL TRANSFER,,662.71,58597.80
25-Apr-2019,GAS UTILITY,77.63,,58520.17
25-Apr-2019,KROGER #1190,147.95,,58372.22
25-Apr-2019,SPOTIFY USA,26.25,,58345.97
26-Apr-2019,CHEVRON,27.54,,58318.43
27-Apr-2019,FRESH MARKET,27.46,,58290.97
27-Apr-2019,CHIPOTLE ONLINE,29.32,,58261.65
27-Apr-2019,STEAM GAMES,11.73,,58249.92
28-Apr-2019,LOCAL BISTRO,44.02,,58205.90
29-Apr-2019,PARKING GARAGE,6.05,,58199.85
30-Apr-2019,ZELLE TO FRIEND,43.56,,58156.29
1-May-2019,ACH CREDIT EMPLOYER PAYROLL,,5863.31,64019.60
1-May-2019,SUSHI HOUSE,16.88,,64002.72
1-May-2019,STARBUCKS STORE,59.85,,63942.87
1-May-2019,PARKING GARAGE,71.68,,63871.19
2-May-2019,KROGER #1190,85.52,,63785.67
3-May-2019,BILL PAY RENT LANDLORD,1485.44,,62300.23
3-May-2019,PIZZA HUT,36.85,,62263.38
5-May-2019,GAS UTILITY,128.76,,62134.62
6-May-2019,ALDI 729,22.12,,62112.50
7-May-2019,METRO TRANSIT,27.47,,62085.03
8-May-2019,AMAZON MKTP,55.07,,62029.96
10-May-2019,UBER TRIP,66.83,,61963.13
11-May-2019,SPOTIFY USA,21.99,,61941.14
12-May-2019,MCDONALD'S,30.32,,61910.82
14-May-2019,METRO TRANSIT,19.58,,61891.24
14-May-2019,EZ PASS TOLL,25.74,,61865.50
14-May-2019,TICKETMASTER,63.73,,61801.77
15-May-2019,VERIZON WIRELESS,134.37,,61667.40
15-May-2019,STARBUCKS STORE,16.26,,61651.14
15-May-2019,NIKE STORE,236.79,,61414.35
15-May-2019,CVS/PHARMACY,214.84,,61199.51
16-May-2019,WHOLE FOODS #4821,31.97,,61167.54
16-May-2019,DOORDASH*RESTAURANT,34.74,,61132.80
16-May-2019,UBER TRIP,49.30,,61083.50
17-May-2019,CITY WATER BILL,191.66,,60891.84
18-May-2019,MCDONALD'S,8.82,,60883.02
18-May-2019,NETFLIX.COM,26.74,,60856.28
19-May-2019,ACH CREDIT FREELANCE,,1190.63,62046.91
19-May-2019,FRESH MARKET,150.70,,61896.21
19-May-2019,PIZZA HUT,58.21,,61838.00
22-May-2019,COSTCO WHSE,51.43,,61786.57
22-May-2019,NETFLIX.COM,19.14,,61767.43
23-May-2019,WALMART SUPERCENTER,112.98,,61654.45
23-May-2019,PARKING GARAGE,24.55,,61629.90
24-May-2019,SHELL OIL,17.35,,61612.55
24-May-2019,UBER TRIP,6.61,,61605.94
25-May-2019,UBER TRIP,70.88,,61535.06
25-May-2019,DENTAL CARE,10.21,,61524.85
26-May-2019,MCDONALD'S,41.23,,61483.62
26-May-2019,CHEVRON,14.80,,61468.82
28-May-2019,BEST BUY,86.51,,61382.31
28-May-2019,HOME DEPOT,57.09,,61325.22
28-May-2019,VENMO PAYMENT,70.04,,61255.18
30-May-2019,ALDI 729,119.46,,61135.72
30-May-2019,LYFT RIDE,34.33,,61101.39
1-Jun-2019,PIZZA HUT,23.96,,61077.43
3-Jun-2019,ACH CREDIT EMPLOYER PAYROLL,,5821.59,66899.02
3-Jun-2019,BILL PAY RENT LANDLORD,1492.72,,65406.30
3-Jun-2019,STARBUCKS STORE,23.37,,65382.93
6-Jun-2019,TRADER JOE'S,127.63,,65255.30
6-Jun-2019,CHIPOTLE ONLINE,75.89,,65179.41
6-Jun-2019,SPOTIFY USA,41.56,,65137.85
7-Jun-2019,WALMART SUPERCENTER,77.42,,65060.43
7-Jun-2019,TRADER JOE'S,115.10,,64945.33
7-Jun-2019,MCDONALD'S,66.46,,64878.87
7-Jun-2019,UBER TRIP,61.18,,64817.69
8-Jun-2019,UBER TRIP,54.43,,64763.26
9-Jun-2019,UBER EATS,10.73,,64752.53
10-Jun-2019,CHEVRON,36.15,,64716.38
13-Jun-2019,ALDI 729,30.17,,64686.21
15-Jun-2019,FRESH MARKET,44.36,,64641.85
16-Jun-2019,DISNEYPLUS,47.94,,64593.91
18-Jun-2019,LYFT RIDE,10.16,,64583.75
18-Jun-2019,METRO TRANSIT,8.17,,64575.58
19-Jun-2019,COMCAST CABLE,121.28,,64454.30
20-Jun-2019,UBER TRIP,58.26,,64396.04
21-Jun-2019,DISNEYPLUS,55.23,,64340.81
22-Jun-2019,VERIZON WIRELESS,166.50,,64174.31
22-Jun-2019,UBER TRIP,11.53,,64162.78
22-Jun-2019,UBER TRIP,16.95,,64145.83
23-Jun-2019,TRADER JOE'S,137.59,,64008.24
23-Jun-2019,NIKE STORE,268.61,,63739.63
23-Jun-2019,AMAZON MKTP,64.05,,63675.58
23-Jun-2019,CVS/PHARMACY,91.04,,63584.54
24-Jun-2019,ELECTRIC COMPANY,121.10,,63463.44
25-Jun-2019,TARGET.COM,260.89,,63202.55
27-Jun-2019,METRO TRANSIT,13.00,,63189.55
28-Jun-2019,WHOLE FOODS #4821,31.51,,63158.04
29-Jun-2019,BEST BUY,92.16,,63065.88
29-Jun-2019,PLANET FITNESS,97.31,,62968.57
1-Jul-2019,ACH CREDIT EMPLOYER PAYROLL,,6028.73,68997.30
1-Jul-2019,LOCAL BISTRO,34.44,,68962.86
2-Jul-2019,STEAM GAMES,64.11,,68898.75
3-Jul-2019,BILL PAY RENT LANDLORD,1496.74,,67402.01
3-Jul-2019,FRESH MARKET,54.96,,67347.05
3-Jul-2019,PIZZA HUT,16.43,,67330.62
4-Jul-2019,LYFT RIDE,37.94,,67292.68
4-Jul-2019,PLANET FITNESS,114.79,,67177.89
5-Jul-2019,CITY WATER BILL,71.58,,67106.31
7-Jul-2019,DOORDASH*RESTAURANT,75.71,,67030.60
7-Jul-2019,CHEVRON,9.89,,67020.71
10-Jul-2019,ALDI 729,112.32,,66908.39
10-Jul-2019,KROGER #1190,90.89,,66817.50
10-Jul-2019,SHELL OIL,50.68,,66766.82
11-Jul-2019,ALDI 729,133.37,,66633.45
13-Jul-2019,CITY WATER BILL,71.81,,66561.64
13-Jul-2019,COMCAST CABLE,110.17,,66451.47
13-Jul-2019,PARKING GARAGE,67.67,,66383.80
14-Jul-2019,STARBUCKS STORE,52.68,,66331.12
14-Jul-2019,UBER TRIP,47.56,,66283.56
14-Jul-2019,PARKING GARAGE,33.56,,66250.00
15-Jul-2019,BEST BUY,215.89,,66034.11
16-Jul-2019,MCDONALD'S,15.11,,66019.00
17-Jul-2019,DOORDASH*RESTAURANT,47.45,,65971.55
17-Jul-2019,UBER EATS,64.96,,65906.59
17-Jul-2019,HOTEL BOOKING,754.19,,65152.40
20-Jul-2019,COSTCO WHSE,54.73,,65097.67
20-Jul-2019,TRADER JOE'S,40.24,,65057.43
21-Jul-2019,NIKE STORE,273.97,,64783.46
22-Jul-2019,ALDI 729,157.92,,64625.54
22-Jul-2019,SPOTIFY USA,64.63,,64560.91
23-Jul-2019,EZ PASS TOLL,42.00,,64518.91
24-Jul-2019,SHELL OIL,68.70,,64450.21
24-Jul-2019,HOME DEPOT,255.77,,64194.44
27-Jul-2019,COSTCO WHSE,60.04,,64134.40
27-Jul-2019,LOCAL BISTRO,56.75,,64077.65
29-Jul-2019,EZ PASS TOLL,65.71,,64011.94
30-Jul-2019,ALDI 729,37.06,,63974.88
30-Jul-2019,METRO TRANSIT,28.44,,63946.44
31-Jul-2019,UBER TRIP,10.60,,63935.84
31-Jul-2019,UBER TRIP,35.73,,63900.11
31-Jul-2019,TARGET.COM,227.95,,63672.16
31-Jul-2019,ZELLE TO FRIEND,216.25,,63455.91
2-Aug-2019,ACH CREDIT EMPLOYER PAYROLL,,5969.76,69425.67
3-Aug-2019,BILL PAY RENT LANDLORD,1467.08,,67958.59
3-Aug-2019,LOCAL BISTRO,55.61,,67902.98
4-Aug-2019,LOCAL BISTRO,52.60,,67850.38
6-Aug-2019,MCDONALD'S,67.51,,67782.87
7-Aug-2019,AMAZON.COM,125.10,,67657.77
8-Aug-2019,CITY WATER BILL,166.67,,67491.10
8-Aug-2019,KROGER #1190,43.32,,67447.78
8-Aug-2019,KROGER #1190,50.89,,67396.89
10-Aug-2019,TRADER JOE'S,129.14,,67267.75
11-Aug-2019,SUSHI HOUSE,47.51,,67220.24
11-Aug-2019,PARKING GARAGE,38.02,,67182.22
11-Aug-2019,NETFLIX.COM,55.94,,67126.28
12-Aug-2019,VERIZON WIRELESS,97.82,,67028.46
12-Aug-2019,UBER TRIP,8.02,,67020.44
12-Aug-2019,NETFLIX.COM,25.37,,66995.07
13-Aug-2019,SHELL OIL,47.07,,66948.00
13-Aug-2019,HOME DEPOT,67.80,,66880.20
13-Aug-2019,BEST BUY,130.26,,66749.94
14-Aug-2019,TRADER JOE'S,37.80,,66712.14
14-Aug-2019,AMAZON.COM,272.99,,66439.15
15-Aug-2019,FRESH MARKET,124.66,,66314.49
15-Aug-2019,METRO TRANSIT,27.15,,66287.34
15-Aug-2019,AMC THEATRES,41.77,,66245.57
19-Aug-2019,MCDONALD'S,82.90,,66162.67
21-Aug-2019,VENMO CASHOUT,,600.07,66762.74
22-Aug-2019,FRESH MARKET,73.07,,66689.67
22-Aug-2019,EZ PASS TOLL,11.42,,66678.25
23-Aug-2019,CHEVRON,44.11,,66634.14
23-Aug-2019,LYFT RIDE,50.68,,66583.46
23-Aug-2019,VENMO PAYMENT,111.53,,66471.93
24-Aug-2019,VERIZON WIRELESS,174.22,,66297.71
24-Aug-2019,UBER TRIP,55.79,,66241.92
25-Aug-2019,LOCAL BISTRO,6.45,,66235.47
25-Aug-2019,TARGET.COM,100.92,,66134.55
26-Aug-2019,WHOLE FOODS #4821,28.67,,66105.88
26-Aug-2019,WALMART SUPERCENTER,109.08,,65996.80
26-Aug-2019,STARBUCKS STORE,82.20,,65914.60
26-Aug-2019,CHIPOTLE ONLINE,67.38,,65847.22
28-Aug-2019,PIZZA HUT,35.24,,65811.98
28-Aug-2019,UBER TRIP,9.62,,65802.36
29-Aug-2019,TRADER JOE'S,77.80,,65724.56
29-Aug-2019,DENTAL CARE,214.16,,65510.40
31-Aug-2019,LYFT RIDE,69.79,,65440.61
2-Sep-2019,ACH CREDIT EMPLOYER PAYROLL,,5867.49,71308.10
2-Sep-2019,PARKING GARAGE,32.27,,71275.83
3-Sep-2019,BILL PAY RENT LANDLORD,1501.79,,69774.04
4-Sep-2019,ALDI 729,98.81,,69675.23
4-Sep-2019,UBER TRIP,71.87,,69603.36
6-Sep-2019,AMAZON.COM,92.36,,69511.00
7-Sep-2019,WALMART SUPERCENTER,119.72,,69391.28
7-Sep-2019,COSTCO WHSE,85.46,,69305.82
7-Sep-2019,PARKING GARAGE,14.42,,69291.40
8-Sep-2019,ZELLE FROM CLIENT,,211.50,69502.90
9-Sep-2019,ELECTRIC COMPANY,80.23,,69422.67
9-Sep-2019,UBER EATS,30.91,,69391.76
9-Sep-2019,EZ PASS TOLL,43.06,,69348.70
9-Sep-2019,LYFT RIDE,36.66,,69312.04
9-Sep-2019,AMAZON MKTP,18.39,,69293.65
10-Sep-2019,SUSHI HOUSE,12.67,,69280.98
10-Sep-2019,EZ PASS TOLL,20.35,,69260.63
10-Sep-2019,AMAZON.COM,186.37,,69074.26
12-Sep-2019,COSTCO WHSE,41.05,,69033.21
12-Sep-2019,UBER EATS,21.38,,69011.83
12-Sep-2019,STARBUCKS STORE,52.05,,68959.78
12-Sep-2019,DENTAL CARE,14.42,,68945.36
13-Sep-2019,ALDI 729,159.82,,68785.54
13-Sep-2019,CHEVRON,64.69,,68720.85
14-Sep-2019,HOME DEPOT,263.11,,68457.74
14-Sep-2019,SPOTIFY USA,52.72,,68405.02
15-Sep-2019,COSTCO WHSE,52.70,,68352.32
16-Sep-2019,FRESH MARKET,147.07,,68205.25
16-Sep-2019,CHEVRON,16.92,,68188.33
17-Sep-2019,PARKING GARAGE,34.27,,68154.06
17-Sep-2019,CITY MEDICAL CLINIC,132.58,,68021.48
18-Sep-2019,ZELLE TO FRIEND,242.31,,67779.17
19-Sep-2019,ELECTRIC COMPANY,180.99,,67598.18
19-Sep-2019,STARBUCKS STORE,83.60,,67514.58
19-Sep-2019,AMC THEATRES,45.10,,67469.48
20-Sep-2019,UBER TRIP,49.78,,67419.70
22-Sep-2019,FRESH MARKET,29.29,,67390.41
23-Sep-2019,CITY WATER BILL,166.39,,67224.02
25-Sep-2019,UBER EATS,33.98,,67190.04
25-Sep-2019,UBER TRIP,35.18,,67154.86
26-Sep-2019,HOME DEPOT,155.39,,66999.47
27-Sep-2019,DOORDASH*RESTAURANT,20.15,,66979.32
1-Oct-2019,ACH CREDIT EMPLOYER PAYROLL,,6086.80,73066.12
2-Oct-2019,COSTCO WHSE,69.50,,72996.62
3-Oct-2019,BILL PAY RENT LANDLORD,1471.00,,71525.62
4-Oct-2019,PIZZA HUT,48.15,,71477.47
4-Oct-2019,PARKING GARAGE,10.10,,71467.37
5-Oct-2019,UBER TRIP,60.27,,71407.10
6-Oct-2019,COMCAST CABLE,82.37,,71324.73
6-Oct-2019,BEST BUY,209.55,,71115.18
7-Oct-2019,DOORDASH*RESTAURANT,71.81,,71043.37
7-Oct-2019,PLANET FITNESS,18.93,,71024.44
8-Oct-2019,DOORDASH*RESTAURANT,25.29,,70999.15
9-Oct-2019,DOORDASH*RESTAURANT,53.52,,70945.63
10-Oct-2019,CHIPOTLE ONLINE,44.55,,70901.08
10-Oct-2019,EZ PASS TOLL,67.19,,70833.89
10-Oct-2019,AMC THEATRES,11.11,,70822.78
11-Oct-2019,WHOLE FOODS #4821,84.90,,70737.88
12-Oct-2019,ELECTRIC COMPANY,83.03,,70654.85
13-Oct-2019,METRO TRANSIT,60.56,,70594.29
13-Oct-2019,SHELL OIL,63.66,,70530.63
14-Oct-2019,VENMO CASHOUT,,500.30,71030.93
14-Oct-2019,AMAZON MKTP,279.24,,70751.69
15-Oct-2019,TICKETMASTER,53.10,,70698.59
15-Oct-2019,SPOTIFY USA,48.21,,70650.38
19-Oct-2019,CITY WATER BILL,175.44,,70474.94
20-Oct-2019,FRESH MARKET,114.89,,70360.05
20-Oct-2019,CHEVRON,4.74,,70355.31
21-Oct-2019,DOORDASH*RESTAURANT,62.64,,70292.67
21-Oct-2019,LYFT RIDE,26.22,,70266.45
22-Oct-2019,KROGER #1190,129.14,,70137.31
22-Oct-2019,LOCAL BISTRO,51.77,,70085.54
23-Oct-2019,TARGET.COM,154.40,,69931.14
24-Oct-2019,SUSHI HOUSE,78.17,,69852.97
24-Oct-2019,EZ PASS TOLL,11.36,,69841.61
24-Oct-2019,EZ PASS TOLL,49.64,,69791.97
26-Oct-2019,SUSHI HOUSE,48.59,,69743.38
26-Oct-2019,IKEA,104.11,,69639.27
26-Oct-2019,AMC THEATRES,18.54,,69620.73
26-Oct-2019,VENMO PAYMENT,236.02,,69384.71
27-Oct-2019,EZ PASS TOLL,46.23,,69338.48
28-Oct-2019,KROGER #1190,150.90,,69187.58
29-Oct-2019,PLANET FITNESS,208.99,,68978.59
31-Oct-2019,COSTCO WHSE,114.47,,68864.12
31-Oct-2019,LYFT RIDE,45.00,,68819.12
1-Nov-2019,WALGREENS,68.01,,68751.11
2-Nov-2019,ACH CREDIT EMPLOYER PAYROLL,,5835.38,74586.49
2-Nov-2019,AMAZON MKTP,243.66,,74342.83
3-Nov-2019,BILL PAY RENT LANDLORD,1472.03,,72870.80
3-Nov-2019,IKEA,105.69,,72765.11
4-Nov-2019,FRESH MARKET,67.49,,72697.62
4-Nov-2019,SUSHI HOUSE,50.82,,72646.80
4-Nov-2019,LOCAL BISTRO,32.38,,72614.42
4-Nov-2019,EZ PASS TOLL,42.00,,72572.42
5-Nov-2019,SPOTIFY USA,44.46,,72527.96
6-Nov-2019,TARGET.COM,66.09,,72461.87
6-Nov-2019,SPOTIFY USA,59.88,,72401.99
7-Nov-2019,DOORDASH*RESTAURANT,83.28,,72318.71
7-Nov-2019,HOME DEPOT,233.67,,72085.04
7-Nov-2019,AMC THEATRES,35.23,,72049.81
8-Nov-2019,GAS UTILITY,139.51,,71910.30
9-Nov-2019,ALDI 729,33.41,,71876.89
9-Nov-2019,DOORDASH*RESTAURANT,33.21,,71843.68
9-Nov-2019,BEST BUY,43.92,,71799.76
10-Nov-2019,ACH CREDIT FREELANCE,,769.62,72569.38
10-Nov-2019,METRO TRANSIT,41.27,,72528.11
10-Nov-2019,ETSY.COM,118.70,,72409.41
11-Nov-2019,COSTCO WHSE,94.18,,72315.23
11-Nov-2019,CHEVRON,36.63,,72278.60
11-Nov-2019,ETSY.COM,59.92,,72218.68
11-Nov-2019,TARGET.COM,166.18,,72052.50
12-Nov-2019,LOCAL BISTRO,64.80,,71987.70
12-Nov-2019,ATM WITHDRAWAL,132.98,,71854.72
13-Nov-2019,PARKING GARAGE,27.39,,71827.33
14-Nov-2019,AMAZON.COM,66.16,,71761.17
15-Nov-2019,WHOLE FOODS #4821,47.83,,71713.34
16-Nov-2019,ELECTRIC COMPANY,53.26,,71660.08
17-Nov-2019,CHEVRON,50.17,,71609.91
17-Nov-2019,SHELL OIL,66.14,,71543.77
17-Nov-2019,NETFLIX.COM,60.39,,71483.38
18-Nov-2019,MCDONALD'S,60.03,,71423.35
19-Nov-2019,APPLE.COM/BILL,223.97,,71199.38
20-Nov-2019,UBER TRIP,33.31,,71166.07
22-Nov-2019,ALDI 729,30.51,,71135.56
22-Nov-2019,AMAZON.COM,37.83,,71097.73
24-Nov-2019,METRO TRANSIT,47.36,,71050.37
24-Nov-2019,APPLE.COM/BILL,113.75,,70936.62
25-Nov-2019,EZ PASS TOLL,32.40,,70904.22
25-Nov-2019,METRO TRANSIT,48.92,,70855.30
29-Nov-2019,UBER EATS,8.98,,70846.32
30-Nov-2019,COSTCO WHSE,60.64,,70785.68
30-Nov-2019,FRESH MARKET,93.46,,70692.22
30-Nov-2019,PIZZA HUT,50.66,,70641.56
30-Nov-2019,CHEVRON,53.23,,70588.33
1-Dec-2019,ACH CREDIT EMPLOYER PAYROLL,,5896.36,76484.69
2-Dec-2019,AMAZON.COM,253.57,,76231.12
2-Dec-2019,HOME DEPOT,186.81,,76044.31
3-Dec-2019,BILL PAY RENT LANDLORD,1489.43,,74554.88
3-Dec-2019,KROGER #1190,21.29,,74533.59
3-Dec-2019,DOORDASH*RESTAURANT,22.44,,74511.15
4-Dec-2019,FRESH MARKET,94.85,,74416.30
4-Dec-2019,LOCAL BISTRO,27.37,,74388.93
4-Dec-2019,HOME DEPOT,78.11,,74310.82
5-Dec-2019,ALDI 729,80.88,,74229.94
5-Dec-2019,PARKING GARAGE,14.96,,74214.98
6-Dec-2019,APPLE.COM/BILL,180.69,,74034.29
7-Dec-2019,CHIPOTLE ONLINE,12.58,,74021.71
7-Dec-2019,SPOTIFY USA,29.56,,73992.15
7-Dec-2019,DISNEYPLUS,20.67,,73971.48
8-Dec-2019,EZ PASS TOLL,57.04,,73914.44
8-Dec-2019,DISNEYPLUS,54.47,,73859.97
9-Dec-2019,STARBUCKS STORE,69.49,,73790.48
10-Dec-2019,UBER TRIP,68.92,,73721.56
10-Dec-2019,PARKING GARAGE,41.29,,73680.27
11-Dec-2019,ELECTRIC COMPANY,189.26,,73491.01
11-Dec-2019,ELECTRIC COMPANY,81.82,,73409.19
11-Dec-2019,TRADER JOE'S,76.66,,73332.53
12-Dec-2019,LOCAL BISTRO,27.84,,73304.69
12-Dec-2019,EZ PASS TOLL,13.63,,73291.06
13-Dec-2019,NIKE STORE,169.67,,73121.39
14-Dec-2019,PARKING GARAGE,44.09,,73077.30
14-Dec-2019,DENTAL CARE,93.66,,72983.64
15-Dec-2019,UBER TRIP,48.51,,72935.13
16-Dec-2019,HOME DEPOT,105.91,,72829.22
18-Dec-2019,ELECTRIC COMPANY,155.47,,72673.75
18-Dec-2019,DISNEYPLUS,63.60,,72610.15
19-Dec-2019,STARBUCKS STORE,78.73,,72531.42
20-Dec-2019,FRESH MARKET,104.29,,72427.13
20-Dec-2019,SPOTIFY USA,25.32,,72401.81
21-Dec-2019,WHOLE FOODS #4821,44.36,,72357.45
21-Dec-2019,UBER EATS,32.48,,72324.97
21-Dec-2019,MCDONALD'S,40.71,,72284.26
21-Dec-2019,CITY MEDICAL CLINIC,170.67,,72113.59
22-Dec-2019,DOORDASH*RESTAURANT,23.77,,72089.82
22-Dec-2019,BEST BUY,221.67,,71868.15
23-Dec-2019,ACH CREDIT YEAR END BONUS,,998.96,72867.11
24-Dec-2019,METRO TRANSIT,45.40,,72821.71
27-Dec-2019,WALMART SUPERCENTER,77.04,,72744.67
29-Dec-2019,PIZZA HUT,43.70,,72700.97
29-Dec-2019,SHELL OIL,41.28,,72659.69
30-Dec-2019,CHEVRON,52.27,,72607.42
31-Dec-2019,PARKING GARAGE,57.80,,72549.62
1-Jan-2020,IKEA,67.63,,72481.99
2-Jan-2020,EZ PASS TOLL,70.84,,72411.15
2-Jan-2020,AMAZON.COM,72.58,,72338.57
2-Jan-2020,AMAZON MKTP,260.21,,72078.36
3-Jan-2020,ACH CREDIT EMPLOYER PAYROLL,,6208.35,78286.71
3-Jan-2020,BILL PAY RENT LANDLORD,1542.04,,76744.67
3-Jan-2020,TICKETMASTER,54.36,,76690.31
6-Jan-2020,WHOLE FOODS #4821,155.74,,76534.57
6-Jan-2020,LOCAL BISTRO,36.35,,76498.22
6-Jan-2020,STEAM GAMES,29.44,,76468.78
6-Jan-2020,DISNEYPLUS,31.03,,76437.75
7-Jan-2020,COSTCO WHSE,31.98,,76405.77
7-Jan-2020,MCDONALD'S,55.38,,76350.39
8-Jan-2020,SHELL OIL,42.70,,76307.69
9-Jan-2020,CHIPOTLE ONLINE,33.73,,76273.96
9-Jan-2020,SUSHI HOUSE,79.38,,76194.58
9-Jan-2020,LYFT RIDE,16.51,,76178.07
9-Jan-2020,CHEVRON,42.18,,76135.89
9-Jan-2020,EZ PASS TOLL,9.57,,76126.32
11-Jan-2020,TRADER JOE'S,126.66,,75999.66
12-Jan-2020,VERIZON WIRELESS,147.26,,75852.40
13-Jan-2020,METRO TRANSIT,20.00,,75832.40
14-Jan-2020,SHELL OIL,52.62,,75779.78
15-Jan-2020,CITY MEDICAL CLINIC,175.92,,75603.86
15-Jan-2020,INSURANCE ANNUAL PREMIUM,1364.30,,74239.56
17-Jan-2020,MCDONALD'S,26.39,,74213.17
18-Jan-2020,PAYPAL TRANSFER,,252.64,74465.81
18-Jan-2020,KROGER #1190,78.02,,74387.79
20-Jan-2020,WHOLE FOODS #4821,84.11,,74303.68
21-Jan-2020,EZ PASS TOLL,6.26,,74297.42
22-Jan-2020,VERIZON WIRELESS,91.29,,74206.13
23-Jan-2020,MCDONALD'S,82.81,,74123.32
24-Jan-2020,COSTCO WHSE,48.25,,74075.07
24-Jan-2020,PARKING GARAGE,4.87,,74070.20
25-Jan-2020,UBER TRIP,11.48,,74058.72
25-Jan-2020,EZ PASS TOLL,29.68,,74029.04
25-Jan-2020,DENTAL CARE,147.77,,73881.27
28-Jan-2020,UBER EATS,72.76,,73808.51
29-Jan-2020,WALMART SUPERCENTER,119.32,,73689.19
29-Jan-2020,METRO TRANSIT,54.42,,73634.77
1-Feb-2020,WALMART SUPERCENTER,26.51,,73608.26
2-Feb-2020,METRO TRANSIT,40.58,,73567.68
2-Feb-2020,CHEVRON,49.92,,73517.76
3-Feb-2020,ACH CREDIT EMPLOYER PAYROLL,,6044.95,79562.71
3-Feb-2020,BILL PAY RENT LANDLORD,1514.52,,78048.19
3-Feb-2020,UBER EATS,24.59,,78023.60
3-Feb-2020,DISNEYPLUS,34.87,,77988.73
5-Feb-2020,WALMART SUPERCENTER,127.97,,77860.76
7-Feb-2020,TRADER JOE'S,29.52,,77831.24
8-Feb-2020,KROGER #1190,91.43,,77739.81
8-Feb-2020,LYFT RIDE,59.70,,77680.11
8-Feb-2020,STEAM GAMES,50.50,,77629.61
10-Feb-2020,CHIPOTLE ONLINE,8.03,,77621.58
10-Feb-2020,HOME DEPOT,155.19,,77466.39
11-Feb-2020,VENMO CASHOUT,,1050.94,78517.33
11-Feb-2020,EZ PASS TOLL,68.66,,78448.67
11-Feb-2020,AMAZON.COM,157.09,,78291.58
12-Feb-2020,MCDONALD'S,32.30,,78259.28
13-Feb-2020,PLANET FITNESS,73.10,,78186.18
14-Feb-2020,ELECTRIC COMPANY,76.78,,78109.40
15-Feb-2020,LOCAL BISTRO,48.73,,78060.67
15-Feb-2020,PARKING GARAGE,23.42,,78037.25
15-Feb-2020,UBER TRIP,38.01,,77999.24
16-Feb-2020,COMCAST CABLE,87.75,,77911.49
18-Feb-2020,DOORDASH*RESTAURANT,75.75,,77835.74
18-Feb-2020,BEST BUY,119.49,,77716.25
21-Feb-2020,IKEA,220.97,,77495.28
22-Feb-2020,STARBUCKS STORE,59.83,,77435.45
