Date,Description,Debit,Credit,Balance
2018-10-30,LYFT RIDE,5.66,,47817.63
2018-10-31,STARBUCKS STORE,9.83,,47807.80
2018-10-31,METRO TRANSIT,42.32,,47765.48
2018-11-01,ACH CREDIT EMPLOYER PAYROLL,,5652.45,53417.93
2018-11-01,TARGET.COM,47.19,,53370.74
2018-11-02,UBER TRIP,64.89,,53305.85
2018-11-02,CITY MEDICAL CLINIC,118.68,,53187.17
2018-11-03,BILL PAY RENT LANDLORD,1451.27,,51735.90
2018-11-03,COSTCO WHSE,66.88,,51669.02
2018-11-04,SHELL OIL,28.59,,51640.43
2018-11-05,DOORDASH*RESTAURANT,36.18,,51604.25
2018-11-05,DENTAL CARE,118.24,,51486.01
2018-11-07,COSTCO WHSE,46.51,,51439.50
2018-11-07,LOCAL BISTRO,84.50,,51355.00
2018-11-07,TICKETMASTER,47.46,,51307.54
2018-11-08,PAYPAL TRANSFER,,860.36,52167.90
2018-11-09,CHEVRON,53.11,,52114.79
2018-11-09,BEST BUY,92.64,,52022.15
2018-11-10,WALMART SUPERCENTER,96.45,,51925.70
2018-11-10,TARGET.COM,83.37,,51842.33
2018-11-10,BEST BUY,206.68,,51635.65
2018-11-11,ZELLE TO FRIEND,180.80,,51454.85
2018-11-13,ALDI 729,88.03,,51366.82
2018-11-14,ELECTRIC COMPANY,120.43,,51246.39
2018-11-14,MCDONALD'S,33.90,,51212.49
2018-11-16,VERIZON WIRELESS,132.35,,51080.14
2018-11-16,LYFT RIDE,56.89,,51023.25
2018-11-17,CVS/PHARMACY,17.01,,51006.24
2018-11-18,COMCAST CABLE,155.36,,50850.88
2018-11-18,TRADER JOE'S,77.23,,50773.65
2018-11-18,HOME DEPOT,121.47,,50652.18
2018-11-20,WHOLE FOODS #4821,128.91,,50523.27
2018-11-20,DOORDASH*RESTAURANT,62.39,,50460.88
2018-11-23,HOME DEPOT,28.62,,50432.26
2018-11-23,ETSY.COM,66.41,,50365.85
2018-11-24,PARKING GARAGE,17.01,,50348.84
2018-11-25,CHEVRON,42.44,,50306.40
2018-11-26,AMAZON MKTP,144.61,,50161.79
2018-11-26,AMAZON.COM,150.06,,50011.73
2018-11-27,STARBUCKS STORE,62.77,,49948.96
2018-11-27,CHEVRON,55.79,,49893.17
2018-11-27,BEST BUY,41.37,,49851.80
2018-11-28,COSTCO WHSE,86.18,,49765.62
2018-11-28,EZ PASS TOLL,40.24,,49725.38
2018-11-29,TRADER JOE'S,69.94,,49655.44
2018-11-29,ALDI 729,115.11,,49540.33
2018-11-30,STARBUCKS STORE,10.23,,49530.10
2018-11-30,AMC THEATRES,21.37,,49508.73
2018-11-30,TICKETMASTER,43.72,,49465.01
2018-12-02,ACH CREDIT EMPLOYER PAYROLL,,5605.28,55070.29
2018-12-03,BILL PAY RENT LANDLORD,1449.54,,53620.75
2018-12-03,ATM WITHDRAWAL,235.80,,53384.95
2018-12-04,UBER TRIP,15.78,,53369.17
2018-12-05,CITY WATER BILL,167.88,,53201.29
2018-12-05,EZ PASS TOLL,34.09,,53167.20
2018-12-06,SHELL OIL,36.66,,53130.54
2018-12-07,ALDI 729,122.80,,53007.74
2018-12-07,SHELL OIL,59.14,,52948.60
2018-12-08,LOCAL BISTRO,68.16,,52880.44
2018-12-09,UBER TRIP,68.91,,52811.53
2018-12-10,VERIZON WIRELESS,127.93,,52683.60
2018-12-11,KROGER #1190,58.15,,52625.45
2018-12-11,METRO TRANSIT,70.50,,52554.95
2018-12-11,BEST BUY,38.42,,52516.53
2018-12-13,LOCAL BISTRO,82.59,,52433.94
2018-12-13,CHEVRON,36.45,,52397.49
2018-12-14,HOME DEPOT,159.40,,52238.09
2018-12-15,UBER TRIP,65.19,,52172.90
2018-12-15,DENTAL CARE,204.98,,51967.92
2018-12-16,LYFT RIDE,11.03,,51956.89
2018-12-18,METRO TRANSIT,38.53,,51918.36
2018-12-19,SPOTIFY USA,13.87,,51904.49
2018-12-20,ACH CREDIT YEAR END BONUS,,1254.78,53159.27
2018-12-20,BEST BUY,154.33,,53004.94
2018-12-21,KROGER #1190,66.32,,52938.62
2018-12-21,EZ PASS TOLL,52.62,,52886.00
2018-12-22,UBER EATS,71.29,,52814.71
2018-12-23,FRESH MARKET,50.92,,52763.79
2018-12-25,MCDONALD'S,27.88,,52735.91
2018-12-25,STARBUCKS STORE,23.33,,52712.58
2018-12-26,FRESH MARKET,128.76,,52583.82
2018-12-27,STARBUCKS STORE,48.07,,52535.75
2018-12-27,APPLE.COM/BILL,104.92,,52430.83
2018-12-27,WALGREENS,146.29,,52284.54
2018-12-28,CVS/PHARMACY,86.46,,52198.08
2018-12-29,SPOTIFY USA,57.49,,52140.59
2018-12-29,AMC THEATRES,62.69,,52077.90
2018-12-30,KROGER #1190,106.83,,51971.07
2018-12-30,WALMART SUPERCENTER,100.22,,51870.85
2018-12-31,SUSHI HOUSE,20.59,,51850.26
2019-01-02,ACH CREDIT EMPLOYER PAYROLL,,6091.90,57942.16
2019-01-02,SHELL OIL,70.39,,57871.77
2019-01-02,DENTAL CARE,188.57,,57683.20
2019-01-02,SPOTIFY USA,42.58,,57640.62
2019-01-02,TICKETMASTER,56.79,,57583.83
2019-01-03,BILL PAY RENT LANDLORD,1483.67,,56100.16
2019-01-03,EZ PASS TOLL,50.19,,56049.97
2019-01-04,WHOLE FOODS #4821,152.80,,55897.17
2019-01-04,WHOLE FOODS #4821,128.04,,55769.13
2019-01-04,NIKE STORE,194.99,,55574.14
2019-01-06,METRO TRANSIT,24.69,,55549.45
2019-01-09,STARBUCKS STORE,52.08,,55497.37
2019-01-10,SHELL OIL,41.73,,55455.64
2019-01-10,STEAM GAMES,40.98,,55414.66
2019-01-13,WHOLE FOODS #4821,25.53,,55389.13
2019-01-13,ALDI 729,21.91,,55367.22
2019-01-13,CHEVRON,8.62,,55358.60
2019-01-14,CHIPOTLE ONLINE,52.24,,55306.36
2019-01-15,ELECTRIC COMPANY,171.78,,55134.58
2019-01-15,TRADER JOE'S,56.70,,55077.88
2019-01-15,SHELL OIL,7.02,,55070.86
2019-01-15,INSURANCE ANNUAL PREMIUM,1048.36,,54022.50
2019-01-20,UBER EATS,51.53,,53970.97
2019-01-20,UBER TRIP,56.32,,53914.65
2019-01-20,IKEA,41.78,,53872.87
2019-01-21,LYFT RIDE,55.57,,53817.30
2019-01-21,EZ PASS TOLL,23.30,,53794.00
2019-01-23,GAS UTILITY,169.34,,53624.66
2019-01-23,COSTCO WHSE,57.29,,53567.37
2019-01-24,HOME DEPOT,93.76,,53473.61
2019-01-25,ALDI 729,64.82,,53408.79
2019-01-25,STARBUCKS STORE,39.67,,53369.12
2019-01-25,CHEVRON,60.30,,53308.82
2019-01-28,PARKING GARAGE,23.34,,53285.48
2019-01-28,CVS/PHARMACY,176.82,,53108.66
2019-01-29,MCDONALD'S,41.31,,53067.35
2019-01-29,HOME DEPOT,177.78,,52889.57
2019-01-31,FRESH MARKET,43.69,,52845.88
2019-01-31,IKEA,239.58,,52606.30
2019-02-02,ACH CREDIT EMPLOYER PAYROLL,,5953.31,58559.61
2019-02-02,ALDI 729,27.95,,58531.66
2019-02-02,STARBUCKS STORE,7.17,,58524.49
2019-02-02,UBER EATS,12.98,,58511.51
2019-02-03,BILL PAY RENT LANDLORD,1477.16,,57034.35
2019-02-03,SHELL OIL,64.03,,56970.32
2019-02-03,TARGET.COM,258.94,,56711.38
2019-02-04,WHOLE FOODS #4821,121.94,,56589.44
2019-02-07,WALMART SUPERCENTER,39.81,,56549.63
2019-02-08,HOME DEPOT,273.44,,56276.19
2019-02-09,LYFT RIDE,36.27,,56239.92
2019-02-09,AMAZON MKTP,245.05,,55994.87
2019-02-10,WALMART SUPERCENTER,102.04,,55892.83
2019-02-10,SUSHI HOUSE,42.19,,55850.64
2019-02-10,SPOTIFY USA,47.59,,55803.05
2019-02-11,ACH CREDIT FREELANCE,,1042.28,56845.33
2019-02-11,SUSHI HOUSE,19.21,,56826.12
2019-02-11,WALGREENS,129.81,,56696.31
2019-02-12,WHOLE FOODS #4821,128.45,,56567.86
2019-02-12,DENTAL CARE,167.78,,56400.08
2019-02-14,ZELLE TO FRIEND,55.50,,56344.58
2019-02-15,KROGER #1190,83.60,,56260.98
2019-02-15,KROGER #1190,63.64,,56197.34
2019-02-15,EZ PASS TOLL,30.34,,56167.00
2019-02-15,EZ PASS TOLL,4.64,,56162.36
2019-02-15,UBER TRIP,35.46,,56126.90
2019-02-16,PARKING GARAGE,49.21,,56077.69
2019-02-17,COMCAST CABLE,118.57,,55959.12
2019-02-17,CHEVRON,25.46,,55933.66
2019-02-17,LYFT RIDE,32.41,,55901.25
2019-02-17,BEST BUY,87.18,,55814.07
2019-02-18,PIZZA HUT,10.23,,55803.84
2019-02-18,IKEA,136.17,,55667.67
2019-02-18,NETFLIX.COM,12.28,,55655.39
2019-02-20,WALMART SUPERCENTER,100.76,,55554.63
2019-02-22,COMCAST CABLE,152.47,,55402.16
2019-02-22,CHEVRON,70.57,,55331.59
2019-02-23,METRO TRANSIT,55.86,,55275.73
2019-02-23,AMAZON MKTP,27.47,,55248.26
2019-02-26,CITY MEDICAL CLINIC,193.93,,55054.33
2019-02-27,WHOLE FOODS #4821,115.73,,54938.60
2019-02-28,CHEVRON,71.04,,54867.56
2019-02-28,NETFLIX.COM,45.86,,54821.70
2019-03-01,ACH CREDIT EMPLOYER PAYROLL,,5965.84,60787.54
2019-03-01,DISNEYPLUS,39.20,,60748.34
2019-03-02,METRO TRANSIT,65.86,,60682.48
2019-03-02,TICKETMASTER,45.93,,60636.55
2019-03-02,STEAM GAMES,49.11,,60587.44
2019-03-03,BILL PAY RENT LANDLORD,1502.56,,59084.88
2019-03-03,WHOLE FOODS #4821,135.98,,58948.90
2019-03-05,METRO TRANSIT,51.41,,58897.49
2019-03-06,WHOLE FOODS #4821,104.40,,58793.09
2019-03-06,LYFT RIDE,17.08,,58776.01
2019-03-06,TARGET.COM,100.24,,58675.77
2019-03-07,LYFT RIDE,32.43,,58643.34
2019-03-08,WHOLE FOODS #4821,31.52,,58611.82
2019-03-08,DOORDASH*RESTAURANT,16.97,,58594.85
2019-03-08,CHEVRON,64.14,,58530.71
2019-03-09,UBER TRIP,23.34,,58507.37
2019-03-10,APPLE.COM/BILL,263.22,,58244.15
2019-03-12,EZ PASS TOLL,38.40,,58205.75
2019-03-13,CITY WATER BILL,140.36,,58065.39
2019-03-13,IKEA,243.33,,57822.06
2019-03-13,DENTAL CARE,189.24,,57632.82
2019-03-14,KROGER #1190,119.72,,57513.10
2019-03-15,KROGER #1190,129.64,,57383.46
2019-03-15,LOCAL BISTRO,79.18,,57304.28
2019-03-15,NETFLIX.COM,35.89,,57268.39
2019-03-17,EZ PASS TOLL,45.71,,57222.68
2019-03-17,BEST BUY,244.65,,56978.03
2019-03-18,VERIZON WIRELESS,190.26,,56787.77
2019-03-19,CHIPOTLE ONLINE,15.77,,56772.00
2019-03-21,CHEVRON,40.99,,56731.01
2019-03-21,UBER TRIP,34.08,,56696.93
2019-03-22,ELECTRIC COMPANY,72.16,,56624.77
2019-03-23,GAS UTILITY,88.52,,56536.25
2019-03-23,MCDONALD'S,78.92,,56457.33
2019-03-23,BEST BUY,128.27,,56329.06
2019-03-23,NETFLIX.COM,43.92,,56285.14
2019-03-26,ALDI 729,149.08,,56136.06
2019-03-26,LOCAL BISTRO,57.72,,56078.34
2019-03-28,MCDONALD'S,34.66,,56043.68
2019-03-30,COSTCO WHSE,24.05,,56019.63
2019-03-30,TRADER JOE'S,39.75,,55979.88
2019-03-30,KROGER #1190,113.16,,55866.72
2019-03-30,DOORDASH*RESTAURANT,9.65,,55857.07
2019-03-30,CITY MEDICAL CLINIC,104.86,,55752.21
2019-04-01,ACH CREDIT EMPLOYER PAYROLL,,5972.32,61724.53
2019-04-01,CHEVRON,54.14,,61670.39
2019-04-02,TARGET.COM,245.40,,61424.99
2019-04-03,BILL PAY RENT LANDLORD,1471.91,,59953.08
2019-04-04,WALMART SUPERCENTER,141.27,,59811.81
2019-04-04,SHELL OIL,11.31,,59800.50
2019-04-05,COMCAST CABLE,125.44,,59675.06
2019-04-06,UBER TRIP,54.45,,59620.61
2019-04-08,MCDONALD'S,10.57,,59610.04
2019-04-08,TICKETMASTER,37.60,,59572.44
2019-04-10,UBER TRIP,48.30,,59524.14
2019-04-11,VERIZON WIRELESS,137.69,,59386.45
2019-04-11,METRO TRANSIT,60.71,,59325.74
2019-04-11,APPLE.COM/BILL,130.74,,59195.00
2019-04-12,IRS USATAXPYMT,231.77,,58963.23
2019-04-13,WHOLE FOODS #4821,136.74,,58826.49
2019-04-13,WALGREENS,39.38,,58787.11
2019-04-14,TRADER JOE'S,39.52,,58747.59
2019-04-14,MCDONALD'S,22.55,,58725.04
2019-04-15,FRESH MARKET,53.37,,58671.67
2019-04-17,SUSHI HOUSE,79.67,,58592.00
2019-04-17,NIKE STORE,36.62,,58555.38
2019-04-19,CITY WATER BILL,62.33,,58493.05
2019-04-19,LOCAL BISTRO,22.40,,58470.65
2019-04-19,STARBUCKS STORE,20.06,,58450.59
2019-04-21,EZ PASS TOLL,30.80,,58419.79
2019-04-21,SHELL OIL,14.27,,58405.52
2019-04-22,CITY MEDICAL CLINIC,132.02,,58273.50
2019-04-23,KROGER #1190,107.99,,58165.51
2019-04-23,EZ PASS TOLL,27.25,,58138.26
2019-04-23,CHEVRON,16.40,,58121.86
2019-04-23,STEAM GAMES,43.07,,58078.79
2019-04-24,FRESH MARKET,143.70,,57935.09
2019-04-25,PAYPAL TRANSFER,,662.71,58597.80
2019-04-25,GAS UTILITY,77.63,,58520.17
2019-04-25,KROGER #1190,147.95,,58372.22
2019-04-25,SPOTIFY USA,26.25,,58345.97
2019-04-26,CHEVRON,27.54,,58318.43
2019-04-27,FRESH MARKET,27.46,,58290.97
2019-04-27,CHIPOTLE ONLINE,29.32,,58261.65
2019-04-27,STEAM GAMES,11.73,,58249.92
2019-04-28,LOCAL BISTRO,44.02,,58205.90
2019-04-29,PARKING GARAGE,6.05,,58199.85
2019-04-30,ZELLE TO FRIEND,43.56,,58156.29
2019-05-01,ACH CREDIT EMPLOYER PAYROLL,,5863.31,64019.60
2019-05-01,SUSHI HOUSE,16.88,,64002.72
2019-05-01,STARBUCKS STORE,59.85,,63942.87
2019-05-01,PARKING GARAGE,71.68,,63871.19
2019-05-02,KROGER #1190,85.52,,63785.67
2019-05-03,BILL PAY RENT LANDLORD,1485.44,,62300.23
2019-05-03,PIZZA HUT,36.85,,62263.38
2019-05-05,GAS UTILITY,128.76,,62134.62
2019-05-06,ALDI 729,22.12,,62112.50
2019-05-07,METRO TRANSIT,27.47,,62085.03
2019-05-08,AMAZON MKTP,55.07,,62029.96
2019-05-10,UBER TRIP,66.83,,61963.13
2019-05-11,SPOTIFY USA,21.99,,61941.14
2019-05-12,MCDONALD'S,30.32,,61910.82
2019-05-14,METRO TRANSIT,19.58,,61891.24
2019-05-14,EZ PASS TOLL,25.74,,61865.50
2019-05-14,TICKETMASTER,63.73,,61801.77
2019-05-15,VERIZON WIRELESS,134.37,,61667.40
2019-05-15,STARBUCKS STORE,16.26,,61651.14
2019-05-15,NIKE STORE,236.79,,61414.35
2019-05-15,CVS/PHARMACY,214.84,,61199.51
2019-05-16,WHOLE FOODS #4821,31.97,,61167.54
2019-05-16,DOORDASH*RESTAURANT,34.74,,61132.80
2019-05-16,UBER TRIP,49.30,,61083.50
2019-05-17,CITY WATER BILL,191.66,,60891.84
2019-05-18,MCDONALD'S,8.82,,60883.02
2019-05-18,NETFLIX.COM,26.74,,60856.28
2019-05-19,ACH CREDIT FREELANCE,,1190.63,62046.91
2019-05-19,FRESH MARKET,150.70,,61896.21
2019-05-19,PIZZA HUT,58.21,,61838.00
2019-05-22,COSTCO WHSE,51.43,,61786.57
2019-05-22,NETFLIX.COM,19.14,,61767.43
2019-05-23,WALMART SUPERCENTER,112.98,,61654.45
2019-05-23,PARKING GARAGE,24.55,,61629.90
2019-05-24,SHELL OIL,17.35,,61612.55
2019-05-24,UBER TRIP,6.61,,61605.94
2019-05-25,UBER TRIP,70.88,,61535.06
2019-05-25,DENTAL CARE,10.21,,61524.85
2019-05-26,MCDONALD'S,41.23,,61483.62
2019-05-26,CHEVRON,14.80,,61468.82
2019-05-28,BEST BUY,86.51,,61382.31
2019-05-28,HOME DEPOT,57.09,,61325.22
2019-05-28,VENMO PAYMENT,70.04,,61255.18
2019-05-30,ALDI 729,119.46,,61135.72
2019-05-30,LYFT RIDE,34.33,,61101.39
2019-06-01,PIZZA HUT,23.96,,61077.43
2019-06-03,ACH CREDIT EMPLOYER PAYROLL,,5821.59,66899.02
2019-06-03,BILL PAY RENT LANDLORD,1492.72,,65406.30
2019-06-03,STARBUCKS STORE,23.37,,65382.93
2019-06-06,TRADER JOE'S,127.63,,65255.30
2019-06-06,CHIPOTLE ONLINE,75.89,,65179.41
2019-06-06,SPOTIFY USA,41.56,,65137.85
2019-06-07,WALMART SUPERCENTER,77.42,,65060.43
2019-06-07,TRADER JOE'S,115.10,,64945.33
2019-06-07,MCDONALD'S,66.46,,64878.87
2019-06-07,UBER TRIP,61.18,,64817.69
2019-06-08,UBER TRIP,54.43,,64763.26
2019-06-09,UBER EATS,10.73,,64752.53
2019-06-10,CHEVRON,36.15,,64716.38
2019-06-13,ALDI 729,30.17,,64686.21
2019-06-15,FRESH MARKET,44.36,,64641.85
2019-06-16,DISNEYPLUS,47.94,,64593.91
2019-06-18,LYFT RIDE,10.16,,64583.75
2019-06-18,METRO TRANSIT,8.17,,64575.58
2019-06-19,COMCAST CABLE,121.28,,64454.30
2019-06-20,UBER TRIP,58.26,,64396.04
2019-06-21,DISNEYPLUS,55.23,,64340.81
2019-06-22,VERIZON WIRELESS,166.50,,64174.31
2019-06-22,UBER TRIP,11.53,,64162.78
2019-06-22,UBER TRIP,16.95,,64145.83
2019-06-23,TRADER JOE'S,137.59,,64008.24
2019-06-23,NIKE STORE,268.61,,63739.63
2019-06-23,AMAZON MKTP,64.05,,63675.58
2019-06-23,CVS/PHARMACY,91.04,,63584.54
2019-06-24,ELECTRIC COMPANY,121.10,,63463.44
2019-06-25,TARGET.COM,260.89,,63202.55
2019-06-27,METRO TRANSIT,13.00,,63189.55
2019-06-28,WHOLE FOODS #4821,31.51,,63158.04
2019-06-29,BEST BUY,92.16,,63065.88
2019-06-29,PLANET FITNESS,97.31,,62968.57
2019-07-01,ACH CREDIT EMPLOYER PAYROLL,,6028.73,68997.30
2019-07-01,LOCAL BISTRO,34.44,,68962.86
2019-07-02,STEAM GAMES,64.11,,68898.75
2019-07-03,BILL PAY RENT LANDLORD,1496.74,,67402.01
2019-07-03,FRESH MARKET,54.96,,67347.05
2019-07-03,PIZZA HUT,16.43,,67330.62
2019-07-04,LYFT RIDE,37.94,,67292.68
2019-07-04,PLANET FITNESS,114.79,,67177.89
2019-07-05,CITY WATER BILL,71.58,,67106.31
2019-07-07,DOORDASH*RESTAURANT,75.71,,67030.60
2019-07-07,CHEVRON,9.89,,67020.71
2019-07-10,ALDI 729,112.32,,66908.39
2019-07-10,KROGER #1190,90.89,,66817.50
2019-07-10,SHELL OIL,50.68,,66766.82
2019-07-11,ALDI 729,133.37,,66633.45
2019-07-13,CITY WATER BILL,71.81,,66561.64
2019-07-13,COMCAST CABLE,110.17,,66451.47
2019-07-13,PARKING GARAGE,67.67,,66383.80
2019-07-14,STARBUCKS STORE,52.68,,66331.12
2019-07-14,UBER TRIP,47.56,,66283.56
2019-07-14,PARKING GARAGE,33.56,,66250.00
2019-07-15,BEST BUY,215.89,,66034.11
2019-07-16,MCDONALD'S,15.11,,66019.00
2019-07-17,DOORDASH*RESTAURANT,47.45,,65971.55
2019-07-17,UBER EATS,64.96,,65906.59
2019-07-17,HOTEL BOOKING,754.19,,65152.40
2019-07-20,COSTCO WHSE,54.73,,65097.67
2019-07-20,TRADER JOE'S,40.24,,65057.43
2019-07-21,NIKE STORE,273.97,,64783.46
2019-07-22,ALDI 729,157.92,,64625.54
2019-07-22,SPOTIFY USA,64.63,,64560.91
2019-07-23,EZ PASS TOLL,42.00,,64518.91
2019-07-24,SHELL OIL,68.70,,64450.21
2019-07-24,HOME DEPOT,255.77,,64194.44
2019-07-27,COSTCO WHSE,60.04,,64134.40
2019-07-27,LOCAL BISTRO,56.75,,64077.65
2019-07-29,EZ PASS TOLL,65.71,,64011.94
2019-07-30,ALDI 729,37.06,,63974.88
2019-07-30,METRO TRANSIT,28.44,,63946.44
2019-07-31,UBER TRIP,10.60,,63935.84
2019-07-31,UBER TRIP,35.73,,63900.11
2019-07-31,TARGET.COM,227.95,,63672.16
2019-07-31,ZELLE TO FRIEND,216.25,,63455.91
2019-08-02,ACH CREDIT EMPLOYER PAYROLL,,5969.76,69425.67
2019-08-03,BILL PAY RENT LANDLORD,1467.08,,67958.59
2019-08-03,LOCAL BISTRO,55.61,,67902.98
2019-08-04,LOCAL BISTRO,52.60,,67850.38
2019-08-06,MCDONALD'S,67.51,,67782.87
2019-08-07,AMAZON.COM,125.10,,67657.77
2019-08-08,CITY WATER BILL,166.67,,67491.10
2019-08-08,KROGER #1190,43.32,,67447.78
2019-08-08,KROGER #1190,50.89,,67396.89
2019-08-10,TRADER JOE'S,129.14,,67267.75
2019-08-11,SUSHI HOUSE,47.51,,67220.24
2019-08-11,PARKING GARAGE,38.02,,67182.22
2019-08-11,NETFLIX.COM,55.94,,67126.28
2019-08-12,VERIZON WIRELESS,97.82,,67028.46
2019-08-12,UBER TRIP,8.02,,67020.44
2019-08-12,NETFLIX.COM,25.37,,66995.07
2019-08-13,SHELL OIL,47.07,,66948.00
2019-08-13,HOME DEPOT,67.80,,66880.20
2019-08-13,BEST BUY,130.26,,66749.94
2019-08-14,TRADER JOE'S,37.80,,66712.14
2019-08-14,AMAZON.COM,272.99,,66439.15
2019-08-15,FRESH MARKET,124.66,,66314.49
2019-08-15,METRO TRANSIT,27.15,,66287.34
2019-08-15,AMC THEATRES,41.77,,66245.57
2019-08-19,MCDONALD'S,82.90,,66162.67
2019-08-21,VENMO CASHOUT,,600.07,66762.74
2019-08-22,FRESH MARKET,73.07,,66689.67
2019-08-22,EZ PASS TOLL,11.42,,66678.25
2019-08-23,CHEVRON,44.11,,66634.14
2019-08-23,LYFT RIDE,50.68,,66583.46
2019-08-23,VENMO PAYMENT,111.53,,66471.93
2019-08-24,VERIZON WIRELESS,174.22,,66297.71
2019-08-24,UBER TRIP,55.79,,66241.92
2019-08-25,LOCAL BISTRO,6.45,,66235.47
2019-08-25,TARGET.COM,100.92,,66134.55
2019-08-26,WHOLE FOODS #4821,28.67,,66105.88
2019-08-26,WALMART SUPERCENTER,109.08,,65996.80
2019-08-26,STARBUCKS STORE,82.20,,65914.60
2019-08-26,CHIPOTLE ONLINE,67.38,,65847.22
2019-08-28,PIZZA HUT,35.24,,65811.98
2019-08-28,UBER TRIP,9.62,,65802.36
2019-08-29,TRADER JOE'S,77.80,,65724.56
2019-08-29,DENTAL CARE,214.16,,65510.40
2019-08-31,LYFT RIDE,69.79,,65440.61
2019-09-02,ACH CREDIT EMPLOYER PAYROLL,,5867.49,71308.10
2019-09-02,PARKING GARAGE,32.27,,71275.83
2019-09-03,BILL PAY RENT LANDLORD,1501.79,,69774.04
2019-09-04,ALDI 729,98.81,,69675.23
2019-09-04,UBER TRIP,71.87,,69603.36
2019-09-06,AMAZON.COM,92.36,,69511.00
2019-09-07,WALMART SUPERCENTER,119.72,,69391.28
2019-09-07,COSTCO WHSE,85.46,,69305.82
2019-09-07,PARKING GARAGE,14.42,,69291.40
2019-09-08,ZELLE FROM CLIENT,,211.50,69502.90
2019-09-09,ELECTRIC COMPANY,80.23,,69422.67
2019-09-09,UBER EATS,30.91,,69391.76
2019-09-09,EZ PASS TOLL,43.06,,69348.70
2019-09-09,LYFT RIDE,36.66,,69312.04
2019-09-09,AMAZON MKTP,18.39,,69293.65
2019-09-10,SUSHI HOUSE,12.67,,69280.98
2019-09-10,EZ PASS TOLL,20.35,,69260.63
2019-09-10,AMAZON.COM,186.37,,69074.26
2019-09-12,COSTCO WHSE,41.05,,69033.21
2019-09-12,UBER EATS,21.38,,69011.83
2019-09-12,STARBUCKS STORE,52.05,,68959.78
2019-09-12,DENTAL CARE,14.42,,68945.36
2019-09-13,ALDI 729,159.82,,68785.54
2019-09-13,CHEVRON,64.69,,68720.85
2019-09-14,HOME DEPOT,263.11,,68457.74
2019-09-14,SPOTIFY USA,52.72,,68405.02
2019-09-15,COSTCO WHSE,52.70,,68352.32
2019-09-16,FRESH MARKET,147.07,,68205.25
2019-09-16,CHEVRON,16.92,,68188.33
2019-09-17,PARKING GARAGE,34.27,,68154.06
2019-09-17,CITY MEDICAL CLINIC,132.58,,68021.48
2019-09-18,ZELLE TO FRIEND,242.31,,67779.17
2019-09-19,ELECTRIC COMPANY,180.99,,67598.18
2019-09-19,STARBUCKS STORE,83.60,,67514.58
2019-09-19,AMC THEATRES,45.10,,67469.48
2019-09-20,UBER TRIP,49.78,,67419.70
2019-09-22,FRESH MARKET,29.29,,67390.41
2019-09-23,CITY WATER BILL,166.39,,67224.02
2019-09-25,UBER EATS,33.98,,67190.04
2019-09-25,UBER TRIP,35.18,,67154.86
2019-09-26,HOME DEPOT,155.39,,66999.47
2019-09-27,DOORDASH*RESTAURANT,20.15,,66979.32
2019-10-01,ACH CREDIT EMPLOYER PAYROLL,,6086.80,73066.12
2019-10-02,COSTCO WHSE,69.50,,72996.62
2019-10-03,BILL PAY RENT LANDLORD,1471.00,,71525.62
2019-10-04,PIZZA HUT,48.15,,71477.47
2019-10-04,PARKING GARAGE,10.10,,71467.37
2019-10-05,UBER TRIP,60.27,,71407.10
2019-10-06,COMCAST CABLE,82.37,,71324.73
2019-10-06,BEST BUY,209.55,,71115.18
2019-10-07,DOORDASH*RESTAURANT,71.81,,71043.37
2019-10-07,PLANET FITNESS,18.93,,71024.44
2019-10-08,DOORDASH*RESTAURANT,25.29,,70999.15
2019-10-09,DOORDASH*RESTAURANT,53.52,,70945.63
2019-10-10,CHIPOTLE ONLINE,44.55,,70901.08
2019-10-10,EZ PASS TOLL,67.19,,70833.89
2019-10-10,AMC THEATRES,11.11,,70822.78
2019-10-11,WHOLE FOODS #4821,84.90,,70737.88
2019-10-12,ELECTRIC COMPANY,83.03,,70654.85
2019-10-13,METRO TRANSIT,60.56,,70594.29
2019-10-13,SHELL OIL,63.66,,70530.63
2019-10-14,VENMO CASHOUT,,500.30,71030.93
2019-10-14,AMAZON MKTP,279.24,,70751.69
2019-10-15,TICKETMASTER,53.10,,70698.59
2019-10-15,SPOTIFY USA,48.21,,70650.38
2019-10-19,CITY WATER BILL,175.44,,70474.94
2019-10-20,FRESH MARKET,114.89,,70360.05
2019-10-20,CHEVRON,4.74,,70355.31
2019-10-21,DOORDASH*RESTAURANT,62.64,,70292.67
2019-10-21,LYFT RIDE,26.22,,70266.45
2019-10-22,KROGER #1190,129.14,,70137.31
2019-10-22,LOCAL BISTRO,51.77,,70085.54
2019-10-23,TARGET.COM,154.40,,69931.14
2019-10-24,SUSHI HOUSE,78.17,,69852.97
2019-10-24,EZ PASS TOLL,11.36,,69841.61
2019-10-24,EZ PASS TOLL,49.64,,69791.97
2019-10-26,SUSHI HOUSE,48.59,,69743.38
2019-10-26,IKEA,104.11,,69639.27
2019-10-26,AMC THEATRES,18.54,,69620.73
2019-10-26,VENMO PAYMENT,236.02,,69384.71
2019-10-27,EZ PASS TOLL,46.23,,69338.48
2019-10-28,KROGER #1190,150.90,,69187.58
2019-10-29,PLANET FITNESS,208.99,,68978.59
2019-10-31,COSTCO WHSE,114.47,,68864.12
2019-10-31,LYFT RIDE,45.00,,68819.12
